69,636
347,429
1397,36
1008,223
2013,1016
2423,805
2377,442
2417,1112
1056,290
1352,24
2497,818
39,682
367,497
1340,80
72,656
40,680
1019,227
2449,836
1388,1
2431,863
1339,15
2414,838
1320,79
1352,55
395,444
1319,54
2403,1104
1053,272
1384,78
2044,1022
31,659
1307,32
1369,22
2341,469
18,640
1376,69
2414,876
14,604
12,648
2032,1062
2086,1026
90,632
41,679
87,658
2044,1063
1078,209
1306,32
336,458
25,675
1301,54
1347,8
2461,806
28,607
94,631
1313,55
2497,835
1398,93
1063,254
2050,1033
29,601
1082,291
379,449
2341,426
2065,1086
39,692
349,409
60,687
2059,1088
1368,92
2429,824
1306,73
1373,30
2468,817
1010,295
14,690
2476,1141
58,622
2083,1063
1339,79
2341,434
2088,1052
2001,1009
1349,34
2037,1065
346,488
2454,1196
66,652
2413,1186
2052,1046
1313,55
1317,45
7,694
1364,1
1381,7
24,604
2045,1094
1366,43
2077,1003
91,692
1359,71
88,681
318,412
1338,83
1092,268
2015,1097
2424,859
2391,492
2440,1188
2454,806
2010,1078
333,423
92,652
1347,50
1311,93
2013,1051
2025,1055
2468,848
2087,1010
2032,1074
1064,279
2001,1037
2007,1018
40,604
2032,1057
86,646
1372,20
1041,202
53,639
1315,63
1326,19
96,604
76,696
2445,838
56,601
2088,1042
2458,1144
1372,29
1067,250
175.8,515.2
783,736
833.83,1127.8
251,1017.5
1304.7,263.33
1648,254
1862.7,947.33
1279,811
2129.6,540.4
2424,534.25
2407,1049.7
2115.2,903.31
1168.5,531
433,691
2352,894.8
2397.4,903.86
2378.3,999.83
1882,882
620,841
1630.5,497.5
2377,1065
2436,916
435,412.5
836,1138
1186.6,272
81.667,648
210.88,606.12
945,1454
2143,909
2483,1222
2133,783
2363,855
2252,930
2404.2,991
2082.5,514.5
1705.6,907.57
1729,392.67
1356,1487
1543,1034
295,1157.3
2114,792
2422.3,1159.7
1810.7,378
2407.4,1002
1342.8,300.75
1654.2,375.5
2093,651.67
687,340
1395.7,467.17
1334.7,417.67
2465.5,1096
503,532
2295.3,897
2370,988
2345.6,927.14
1743,711
1338,961.67
2410,1061.5
315,616
2422.4,952.14
1301.4,410.82
2391,622
2394,856
2065,565
2397.5,1008.5
2436,916
1305,1128.5
247.56,583.11
2140.7,846.33
2125,498
2184.2,842
1270,383
2339.3,1031.3
788,1166
2464,1128
1247,406.29
1279,1105.7
2112.5,516.73
1255.2,344.62
2430.5,1120
719.5,1083.5
2426,1100.3
1486.5,422
1458,833
1274.2,264.75
2400.3,970.67
2427,980.5
2366,1166
1341,1176
1392.5,75
2346,940.67
2393.7,1061.3
2073,913
2383.2,848.5
706.83,1245.8
238.9,582.4
1287.5,947.87
858,1273.8
2428,761
1685,866
868,1344
265.2,576.8
2176,899.5
1662.8,975.25
2360.8,417.4
2142.5,463.5
2422.5,988.5
2270.5,927
184.4,1038.4
1246,311.25
2120,429.12
2048,458
2297,755
2125.4,468.33
2411.8,505.4
2073.7,786.33
2344.8,407.8
2126.4,516.4
2447.9,1011.7
256,769
851,427
1261.8,225.83
2137,400.4
1280,262
1449,286
2421.7,1009
1356.3,1106
2368.3,244.67
1224.2,400.83
1727.7,963
713.75,455.25
218.25,561.25
2415.3,889
2055,1039
2381.5,489.5
1248,798
1449,286
2391.5,508.5
2345.4,980.75
1738.8,803.75
2381.7,579.33
2346.2,884
2140,797
2128.5,803
